rowid,kepid,koi_disposition,koi_pdisposition
5852,8753896,FALSE POSITIVE,FALSE POSITIVE
5853,11074835,FALSE POSITIVE,FALSE POSITIVE
5854,10812504,FALSE POSITIVE,FALSE POSITIVE
5855,9827149,FALSE POSITIVE,FALSE POSITIVE
5856,9602613,CANDIDATE,CANDIDATE
5857,7584650,FALSE POSITIVE,FALSE POSITIVE
5858,9758089,CANDIDATE,CANDIDATE
5859,10005758,CANDIDATE,CANDIDATE
5860,9823564,FALSE POSITIVE,FALSE POSITIVE
5861,9532424,FALSE POSITIVE,FALSE POSITIVE
5862,9950316,FALSE POSITIVE,FALSE POSITIVE
5863,6028860,FALSE POSITIVE,FALSE POSITIVE
5864,6778019,FALSE POSITIVE,FALSE POSITIVE
5865,4571536,FALSE POSITIVE,FALSE POSITIVE
5866,10904004,CANDIDATE,CANDIDATE
5867,3336283,FALSE POSITIVE,FALSE POSITIVE
5868,1725415,FALSE POSITIVE,FALSE POSITIVE
5869,11304987,FALSE POSITIVE,FALSE POSITIVE
5870,11709423,FALSE POSITIVE,FALSE POSITIVE
5871,8758136,CANDIDATE,CANDIDATE
5872,12405333,CONFIRMED,CANDIDATE
5873,10617638,FALSE POSITIVE,FALSE POSITIVE
5874,12833566,FALSE POSITIVE,FALSE POSITIVE
5875,9153554,FALSE POSITIVE,FALSE POSITIVE
5876,8161830,FALSE POSITIVE,FALSE POSITIVE
5877,6461850,FALSE POSITIVE,FALSE POSITIVE
5878,7613246,FALSE POSITIVE,FALSE POSITIVE
5879,11551715,FALSE POSITIVE,FALSE POSITIVE
5880,2715695,CANDIDATE,CANDIDATE
5881,11442793,CONFIRMED,CANDIDATE
5882,6312171,FALSE POSITIVE,FALSE POSITIVE
5883,10665043,FALSE POSITIVE,FALSE POSITIVE
5884,12352520,CANDIDATE,CANDIDATE
5885,7455981,CONFIRMED,CANDIDATE
5886,7107561,FALSE POSITIVE,FALSE POSITIVE
5887,9605552,CANDIDATE,CANDIDATE
5888,11237332,FALSE POSITIVE,FALSE POSITIVE
5889,8669092,FALSE POSITIVE,FALSE POSITIVE
5890,5474613,CANDIDATE,CANDIDATE
5891,9823519,CONFIRMED,CANDIDATE
5892,2715695,CANDIDATE,CANDIDATE
5893,10587105,CANDIDATE,CANDIDATE
5894,8558011,CONFIRMED,CANDIDATE
5895,5281714,FALSE POSITIVE,FALSE POSITIVE
5896,5283728,CANDIDATE,CANDIDATE
5897,5303185,FALSE POSITIVE,FALSE POSITIVE
5898,5308777,FALSE POSITIVE,FALSE POSITIVE
5899,5364090,FALSE POSITIVE,FALSE POSITIVE
5900,5370944,FALSE POSITIVE,FALSE POSITIVE
5901,5374838,CANDIDATE,CANDIDATE
5902,6364143,FALSE POSITIVE,FALSE POSITIVE
5903,6364307,FALSE POSITIVE,FALSE POSITIVE
5904,6366559,FALSE POSITIVE,FALSE POSITIVE
5905,6367663,FALSE POSITIVE,FALSE POSITIVE
5906,6368905,CANDIDATE,CANDIDATE
5907,6369548,FALSE POSITIVE,FALSE POSITIVE
5908,6372194,CANDIDATE,CANDIDATE
5909,6387557,CANDIDATE,CANDIDATE
5910,3098843,FALSE POSITIVE,FALSE POSITIVE
5911,3958301,FALSE POSITIVE,FALSE POSITIVE
5912,5353137,FALSE POSITIVE,FALSE POSITIVE
5913,4932689,FALSE POSITIVE,FALSE POSITIVE
5914,5294945,CANDIDATE,CANDIDATE
5915,7742408,CANDIDATE,CANDIDATE
5916,3968809,CANDIDATE,CANDIDATE
5917,3970397,FALSE POSITIVE,FALSE POSITIVE
5918,3973549,FALSE POSITIVE,FALSE POSITIVE
5919,3974928,CANDIDATE,CANDIDATE
5920,4058169,FALSE POSITIVE,FALSE POSITIVE
5921,4063943,FALSE POSITIVE,FALSE POSITIVE
5922,4071638,FALSE POSITIVE,FALSE POSITIVE
5923,5390913,CANDIDATE,CANDIDATE
5924,5391911,CANDIDATE,CANDIDATE
5925,5394585,CANDIDATE,CANDIDATE
5926,5397106,FALSE POSITIVE,FALSE POSITIVE
5927,5425643,FALSE POSITIVE,FALSE POSITIVE
5928,5425908,FALSE POSITIVE,FALSE POSITIVE
5929,5428199,FALSE POSITIVE,FALSE POSITIVE
5930,5436415,FALSE POSITIVE,FALSE POSITIVE
5931,6387887,FALSE POSITIVE,FALSE POSITIVE
5932,6425377,CANDIDATE,CANDIDATE
5933,6428602,FALSE POSITIVE,FALSE POSITIVE
5934,6442735,CANDIDATE,CANDIDATE
5935,6443093,CANDIDATE,CANDIDATE
